variable,SIZE_CLASS,count,mean,sd,range_1_high,range_1_low,range_2_high,range_2_low
GQ_TOT,Large,578,-0.02744168226344366,0.19868329873975157,0.17124161647630792,-0.22612498100319522,0.36992491521605947,-0.4248082797429468
GQ_TOT,Medium,595,-6.017059863416171e-4,0.5144830352093166,0.513881329222975,-0.5150847411956582,1.0283643644322915,-1.0295677764049749
GQ_TOT,Small,1970,0.4436511490941822,5.40432227303058,5.847973422124762,-4.960671123936398,11.252295695155341,-10.364993396966979
H_TOT_PROP,Large,578,0.004668935986640996,0.00829866705178254,0.012967603038423536,-0.003629731065141543,0.021266270090206076,-0.011928398116924081
H_TOT_PROP,Medium,595,-1.8371270578223958e-4,0.008225812167234003,0.008042099461451764,-0.008409524873016242,0.016267911628685766,-0.016635337040250248
H_TOT_PROP,Small,1970,-0.005206659939947963,0.017866459298994216,0.012659799359046254,-0.023073119238942178,0.03052625865804047,-0.040939578537936394
HU_TOT,Large,578,0.012837187453916099,0.03047301144181499,0.04331019889573109,-0.01763582398789889,0.07378321033754608,-0.04810883542971388
HU_TOT,Medium,595,0.0219787642899826,0.05752023033957217,0.07949899462955476,-0.03554146604958957,0.13701922496912694,-0.09306169638916173
HU_TOT,Small,1970,-0.001550521092375019,0.06604048886644452,0.0644899677740695,-0.06759100995881955,0.13053045664051402,-0.13363149882526407
NH_AA_PROP,Large,578,0.0018915650367295075,0.004163868549767262,0.00605543358649677,-0.002272303513037755,0.010219302136264033,-0.006436172062805017
NH_AA_PROP,Medium,595,-1.3562041926869602e-4,0.0023353865999048147,0.0021997661806361186,-0.0024710070191735108,0.004535152780540934,-0.004806393619078325
NH_AA_PROP,Small,1970,-0.0024503446105606994,0.005638166535276436,0.0031878219247157367,-0.008088511145837135,0.008825988459992173,-0.013726677681113571
NH_AI_PROP,Large,578,-3.930002949920441e-4,0.002238549963815468,0.0018455496688234237,-0.0026315502588075117,0.004084099632638892,-0.0048701002226229795
NH_AI_PROP,Medium,595,4.2298873427690567e-4,0.0059995533583967605,0.006422542092673666,-0.005576564624119855,0.012422095451070427,-0.011576117982516615
NH_AI_PROP,Small,1970,-4.7820517039515225e-4,0.015461315383743153,0.014983110213348002,-0.015939520554138307,0.030444425597091155,-0.03140083593788146
NH_BA_PROP,Large,578,-3.241268410480591e-4,0.009100723251781106,0.008776596410733048,-0.009424850092829165,0.017877319662514154,-0.01852557334461027
NH_BA_PROP,Medium,595,-0.004495795564594429,0.009969419446242004,0.005473623881647575,-0.014465215010836432,0.015443043327889578,-0.024434634457078434
NH_BA_PROP,Small,1970,-0.005916648574883795,0.013327909187672708,0.007411260612788913,-0.019244557762556503,0.020739169800461622,-0.03257246695022921
NH_NA_PROP,Large,578,2.3057985654104752e-4,0.0010544031772509585,0.001284983033792006,-8.238233207099109e-4,0.0023393862110429645,-0.0018782264979608694
NH_NA_PROP,Medium,595,-4.0356707250424334e-5,8.482782482847781e-4,8.079215410343538e-4,-8.886349555352024e-4,0.0016561997893191319,-0.0017369132038199805
NH_NA_PROP,Small,1970,-7.235561497362756e-4,0.005362891877727218,0.004639335727990942,-0.006086448027463494,0.01000222760571816,-0.011449339905190712
NH_TOM_PROP,Large,578,0.0036304938456777455,0.003626826906632683,0.007257320752310429,3.6669390450624548e-6,0.010884147658943112,-0.0036231599675876206
NH_TOM_PROP,Medium,595,0.002932553384266067,0.004529578894747218,0.007462132279013285,-0.0015970255104811515,0.011991711173760505,-0.00612660440522837
NH_TOM_PROP,Small,1970,-2.837242375221197e-4,0.007452370212972576,0.007168645975450456,-0.007736094450494696,0.014621016188423033,-0.015188464663467271
NH_WA_PROP,Large,578,-0.009704447589549196,0.01438594058593877,0.004681492996389574,-0.024090388175487965,0.019067433582328343,-0.03847632876142673
NH_WA_PROP,Medium,595,0.0014999432783528162,0.01327121471060809,0.014771157988960906,-0.011771271432255273,0.028042372699568996,-0.025042486142863363
NH_WA_PROP,Small,1970,0.015059138683046003,0.03082213911029467,0.045881277793340676,-0.015763000427248666,0.07670341690363534,-0.04658513953754334
POP_TOT,Large,578,0.004272780162591167,0.025114983965445935,0.029387764128037102,-0.02084220380285477,0.05450274809348304,-0.045957187768300704
POP_TOT,Medium,595,0.012633393179671458,0.029966193682527054,0.042599586862198516,-0.017332800502855596,0.07256578054472557,-0.04729899418538265
POP_TOT,Small,1970,0.023695353471944045,0.05193496366644825,0.0756303171383923,-0.028239610194504206,0.12756528080484056,-0.08017457386095246
PPH_RAT,Large,578,-0.017854840787471567,0.08529260786181116,0.06743776707433959,-0.10314744864928273,0.15273037493615074,-0.18844005651109388
PPH_RAT,Medium,595,-0.01634915809220767,0.12757480120437653,0.11122564311216886,-0.1439239592965842,0.2388004443165454,-0.2714987605009607
PPH_RAT,Small,1970,0.04676773904256419,0.12247578714957089,0.16924352619213506,-0.0757080481070067,0.291719313341706,-0.19818383525657757
