GEOID,year,county-response-rate,us-response-rate
51181,2020,61.9,67
51183,2020,54,67
51187,2020,71.8,67
51191,2020,69.1,67
51195,2020,52,67
51197,2020,67,67
51199,2020,76.4,67
51510,2020,73.7,67
51530,2020,70.4,67
51540,2020,69.2,67
51550,2020,76.6,67
51570,2020,72.3,67
51580,2020,62.3,67
51590,2020,59.6,67
51595,2020,59.7,67
51600,2020,83.1,67
51610,2020,82.5,67
51620,2020,64.8,67
51630,2020,68.1,67
51640,2020,63.8,67
51650,2020,69.3,67
51660,2020,66,67
51670,2020,62.1,67
51678,2020,67.2,67
51680,2020,67.7,67
51683,2020,73.5,67
51685,2020,74.2,67
51690,2020,60.1,67
51700,2020,67.1,67
51710,2020,64.5,67
51720,2020,60.1,67
51730,2020,51.1,67
51735,2020,82.9,67
51740,2020,66.1,67
51750,2020,61.4,67
51760,2020,62.5,67
51770,2020,66.3,67
51775,2020,75.5,67
51790,2020,71.3,67
51800,2020,67.5,67
51840,2020,69.3,67
51810,2020,74.4,67
51820,2020,72.9,67
51830,2020,66.7,67
51063,2020,62.1,67
51069,2020,77.8,67
51077,2020,57.8,67
51083,2020,62.3,67
51091,2020,47.2,67
51097,2020,55.7,67
51103,2020,50.3,67
51111,2020,54.9,67
51119,2020,45.8,67
51127,2020,73.6,67
51135,2020,60.3,67
51143,2020,66.1,67
51149,2020,73.2,67
51159,2020,56.6,67
51165,2020,71.7,67
51173,2020,62.5,67
51179,2020,80.4,67
51185,2020,56.2,67
51193,2020,55.7,67
51520,2020,66.3,67
51033,2020,71.7,67
51157,2020,59.7,67
51075,2020,71.7,67
19001,2020,70.9,67
19003,2020,67.1,67
19005,2020,58,67
19007,2020,60.6,67
19009,2020,70.5,67
19011,2020,74.6,67
19013,2020,72.8,67
19015,2020,74.2,67
19017,2020,77.7,67
19019,2020,72.5,67
19021,2020,71.9,67
19023,2020,74.3,67
19025,2020,66.4,67
19027,2020,75.1,67
19029,2020,72,67
19031,2020,74.8,67
19033,2020,68.4,67
19035,2020,72,67
19037,2020,72.4,67
19039,2020,67,67
19041,2020,70.6,67
19043,2020,63.8,67
19045,2020,72.5,67
19049,2020,74.5,67
19051,2020,69.6,67
19055,2020,72.2,67
19057,2020,69.6,67
19059,2020,48.4,67
19061,2020,74.3,67
19063,2020,65.7,67
19065,2020,67.7,67
19067,2020,71.5,67
19069,2020,67.7,67
19077,2020,61.9,67
19071,2020,62.5,67
19073,2020,68.8,67
19075,2020,77.5,67
19079,2020,70.4,67
19081,2020,70.6,67
19083,2020,70,67
19085,2020,69.4,67
19087,2020,73.5,67
19089,2020,73.4,67
19091,2020,69.5,67
19093,2020,70.7,67
19095,2020,73.9,67
19097,2020,71.1,67
19099,2020,71.7,67
19103,2020,72.6,67
19105,2020,74.4,67
19107,2020,68.5,67
19111,2020,67.3,67
19113,2020,75.1,67
19115,2020,65,67
19119,2020,76.8,67
19121,2020,75.2,67
19123,2020,70.6,67
19127,2020,69.4,67
19129,2020,71.3,67
19131,2020,74.1,67
19135,2020,62,67
19137,2020,67.5,67
